"Parent SKU","Product ID","Product SKU","Product Name","Slug","Permalink","Product URL","Description","Type","Visibility","Downloadable","Price","Sale Price"
"","6136","THRE011275","Three Rings Shiraz 2012","three-rings-shiraz-2012","https://www.ewinegallery.com/shop/red/three-rings-shiraz-2012/","https://www.ewinegallery.com/shop/red/three-rings-shiraz-2012/","Deep red with a deep garnet hue. Full-bodied and showing lifted black currants, ripe plum, mint, caraway seeds and integrated oak on the nose. The palate consists of plums, black cherries, dark chocolate and coffee, with rustic overtones of cigar box and leather. Balanced tannins and acidity.","Simple Product","Catalog & Search","No","44.00",""
"","5986","EWGBD2035","Burgundy Couple","burgundy-couple","https://www.ewinegallery.com/shop/all-deals/burgundy-couple/","https://www.ewinegallery.com/shop/all-deals/burgundy-couple/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #0000ff;"">Louis Max, Chablis 1er Cru Fourchaume 2013 (France)</span></h5>
Yellow in colour with golden hue. It has a refined and fruity bouquet, with floral, mineral and lemony hints. On the palate it is full of finesse and tenderness with charming fruit. Long aftertaste with mineral character.
<h5><span style=""color: #0000ff;"">Louis Max, Bourgogne Pinot Noir, Beaucharme 2011 (France)</span></h5>
<span style=""color: #888888;""><span style=""color: #000000;"">Brilliant cherry red. Aromas of red fruits with notion of lime and mint. A wine with a lot of fruits and a delicate note of wood. Good persistence and harmonious well balanced.</span></span>","Simple Product","Catalog & Search","No","114","78"
"","5842","EWGBD2034","Premium Double","premium-double","https://www.ewinegallery.com/shop/all-deals/premium-double/","https://www.ewinegallery.com/shop/all-deals/premium-double/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #0000ff;"">Rolf Binder Hanisch Shiraz 2006 (Australia)</span></h5>
Dark red. It opens with a brilliantly perfumed and intense ripe blackberry bouquet with hints of pipe tobacco. This is a very rich fruit-forward wine, showing some oak and spice. An immediate attack of fruit with depth. It is not overpowering, but harmonious, with a rich core of firmness that makes it stand out.
<h5><span style=""color: #0000ff;"">Talley Vineyards Pinot Noir 2009 (USA)</span></h5>
Vivid red color. Inviting Aromas of raspberry, cola and clove with subtle smoky notes. It is medium bodied with a silky texture and lush flavors of raspberry and earth nose.","Simple Product","Catalog & Search","No","227","159"
"","5840","EWGBD2033","Award Winning Duo","award-winning-duo","https://www.ewinegallery.com/shop/all-deals/award-winning-duo/","https://www.ewinegallery.com/shop/all-deals/award-winning-duo/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #000000;"">Flechas De Los Andes Gran Malbec 2009 (Argentina)</span></h5>
Purple color, with a superb bouquet of cedar, mineral, black cherry and black raspberry. This leads to a full-bodied, layered, ripe wine with enough structure.
<h5><span style=""color: #0000ff;"">Gold Medal, Decanter World Wine Award 2013</span></h5>
<h5></h5>
<h5><span style=""color: #000000;"">Jacob’s Creek Johann Shiraz Cabernet 2005 (Australia)</span></h5>
A highly fragrant bouquet with bright black fruit aromas, a deep and complex palate, with juicy red fruit notes contrasting with savoury tannins accompanied by darker fruits on the finish.
<h5><span style=""color: #0000ff;"">Gold Medal, The Great Australian Red Competition 2010</span></h5>","Simple Product","Catalog & Search","No","186","148"
"","5839","EWGBD2032","South Australian Duo","south-australian-duo","https://www.ewinegallery.com/shop/all-deals/south-australian-duo/","https://www.ewinegallery.com/shop/all-deals/south-australian-duo/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #0000ff;"">George Wyndham Cabernet Merlot 2005 (Australia)</span></h5>
Lime, grapefruit and green apple. Tropical and citrus characters. It is well balanced with great fruit weight and minerality, and has a crisp, clean and long aftertaste.
<h5><span style=""color: #0000ff;"">Gemtree Vineyards Uncut Shiraz 2010 (Australia)</span></h5>
<span style=""color: #888888;""><span style=""color: #000000;"">Deep purple color with purple and black hue. Satsuma plums, licorice, white pepper, black jubes, mocha, red cherry, hints of cinnamon and savoury oak on the nose. Flavours of blackberry, plums and blueberries. Wonderful lines of acid and tannin.</span>
</span>","Simple Product","Catalog & Search","No","112","85"
"","5838","EWGBD2031","New Zealand Gems","new-zealand-gems","https://www.ewinegallery.com/shop/all-deals/new-zealand-gems/","https://www.ewinegallery.com/shop/all-deals/new-zealand-gems/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #0000ff;"">Jealous Sisters Sauvignon Blanc 2013 (New Zealand)</span></h5>
Lime, grapefruit and green apple. Tropical and citrus characters. It is well balanced with great fruit weight and minerality, and has a crisp, clean and long aftertaste.
<h5><span style=""color: #0000ff;"">Cooper's Creek Marlborough Pinot Noir 2011 (New Zealand)</span></h5>
Bright core and red/purple rim. The wine has a strong bouquet of black plums and black cherries intermingled with subtle oak and nuances of grilled meat. It has a rich and firm style with bold, sweet fruit and supple tannins, with a core of sweet black cherry fruit lingering on the palate.","Simple Product","Catalog & Search","No","95.50","68"
"","5837","EWGBD2030","Luberon Double","luberon-double","https://www.ewinegallery.com/shop/all-deals/luberon-double/","https://www.ewinegallery.com/shop/all-deals/luberon-double/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #0000ff;"">Marrenon Sepia 2011 (France)</span></h5>
The wine has a dark robe with purple tints, typical of an intense concentration. The nose is delicate and complex with oak aromas (vanilla and grilled bread aromas) and shows notes of red fruits dominated by blackcurrant and raspberry.
<h5><span style=""color: #0000ff;"">Marrenon Petula Rose 2013 (France)</span></h5>
With its deep salmon-pink color, the wine offers a nose of little red berries, with a touch of strawberries and raspberries backed by soft spices. The juicy and lively flavour is characterized by its roundness and astonishing redcurrant and mango notes. This wine, combining power and freshness, is a rosé to be enjoyed with any meal.","Simple Product","Catalog & Search","No","84","58"
"","5836","EWGBD2029","Double Date","double-date","https://www.ewinegallery.com/shop/all-deals/double-date/","https://www.ewinegallery.com/shop/all-deals/double-date/","<strong>This bundle includes the following:</strong>
<h5></h5>
<h5><span style=""color: #0000ff;"">George Wyndham Shiraz Cabernet 2006 </span><span style=""color: #0000ff;"">(Australia)</span></h5>
This classic Australian blend offers intense berry and spice character from the shiraz enhanced by blackcurrant and mint flavours from the cabernet. These generous flavours are complimented by subtle oak and complexity thanks to meticulous fruit selection, gentle handling and maturation in the finest oak barrels.
<h5><span style=""color: #0000ff;"">Lake Breeze Bernoota Shiraz Cabernet 2010 (Australia)</span></h5>
The wine shows dark fruit characters of blackberry and plums, with a hint of choc mint and smoky oak aromas. Good fruit sweetness and soft tannins","Simple Product","Catalog & Search","No","106.50","79"
"","5835","EWGBD2028","Easy Drinking Duo","easy-drinking-duo","https://www.ewinegallery.com/shop/all-deals/easy-drinking-duo/","https://www.ewinegallery.com/shop/all-deals/easy-drinking-duo/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #0000ff;"">Jacob's Creek Reserve Riesling 2010 (Australia)</span></h5>
Pale green straw colour. The nose displays attractive regional characters of apple and lemon blossom that are highlighted by a fresh lime citrus backdrop. Fresh lemon and lime citrus flavours are balanced with a crisp and lively mineral acidity which provides structure and length to the palate.
<h5><span style=""color: #0000ff;"">Costa Vera Cabernet Sauvignon 2014 (Chile)</span></h5>
Ruby red in color. Interesting aromas of berries and ripe red fruits on the nose. Robust characteristics with a complex body, pleasant endurance and a flavorful finish on the palate.","Simple Product","Catalog & Search","No","70.50","55"
"","5834","EWGBD2027","Double Dessert","double-dessert","https://www.ewinegallery.com/shop/all-deals/double-dessert/","https://www.ewinegallery.com/shop/all-deals/double-dessert/","<strong>This bundle includes the following:</strong>
<h5><span style=""color: #0000ff;"">Carmes de Rieussec Sauternes 375ml (2nd Wine Chateau Rieussec) 2011 (France)</span></h5>
A ripe, flashy style, with a big core of pineapple chiffon, creamed peach, apricot and tangerine notes matched to a creamy mouthfeel. Shows a blip of heat on the finish, but should settle in shortly.
<h5><span style=""color: #0000ff;"">Lucchetti Lacrima di Morro Passito 2009 (500ml) (Italy)</span></h5>
Deep ruby red with aromas raspberries and roses on the nose and palates. Big, dense and suave, with creamy black fruit and sweet spice flavors which comes off as off-dry. The finishes is smooth and very long.","Simple Product","Catalog & Search","No","102","72"
